Model,href,Exterior color,Interior color,Drivetrain,MPG,Fuel type,Transmission,Engine,VIN,Stock #,Mileage,Accidents or damage,1-owner vehicle,Personal use only,Price
2022 Genesis GV70 3.5T Sport,/vehicledetail/0a58a41d-46da-4973-835a-5b4c48a33a79/,Red,Black,All-wheel Drive,"19–25



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,KMUMCDTC2NU029390,SG255A,"24,593 mi.",None reported,Yes,Yes,"$53,821"
2016 Toyota Sienna LE,/vehicledetail/1e555eae-467a-4545-8933-d9215d351cf8/,Silver,Ash,Front-wheel Drive,"18–25



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,Automatic,Regular Unleaded V-6 3.5 L/211,5TDKK3DC4GS726993,2726993,"80,494 mi.",At least 1 accident or damage reported,No,Yes,"$21,985"
2018 Cadillac XT5 Premium Luxury,/vehicledetail/2919c23b-d6f2-431b-94b8-d895cae12a89/,Radiant Silver Metallic,Cirrus w/Dark Titanium Accents,All-wheel Drive,"18–25



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed A/T,"3.6L V-6 gasoline direct injection, DOHC, VVT variable valve con",1GYKNFRS0JZ209098,B23027B,"89,002 mi.",At least 1 accident or damage reported,No,Yes,"$24,000"
2019 Ford Shelby GT350 Base,/vehicledetail/2cbac92b-9d54-4ee2-ace7-39d17cb54328/,Oxford White,Ebony,Rear-wheel Drive,"14–21



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Manual,5.2L V8 32V MPFI DOHC,1FA6P8JZ4K5550444,HMS30A,"27,700 mi.",None reported,Yes,No,"$62,999"
2012 GMC Canyon SLE,/vehicledetail/31d52b6d-70af-4a0e-9a8a-1147927f51f8/,Fire Red,Ebony,Four-wheel Drive,–,Gasoline,4-Speed Automatic,3.7L I5 20V MPFI DOHC,1GTH6PFE9C8142964,15766A,"65,717 mi.",None reported,Yes,Yes,"$18,998"
2014 Dodge Avenger SE,/vehicledetail/2f80785d-0552-4ac2-852e-3440ba339dbd/,Black Clearcoat,Black,Front-wheel Drive,"21–30



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,4-Speed Automatic,2.4L I4 16V MPFI DOHC,1C3CDZAB8EN234391,7230S,"94,767 mi.",At least 1 accident or damage reported,Yes,No,"$8,988"
2021 Chevrolet Silverado 1500 Custom,/vehicledetail/32bf0fda-b137-4adc-949e-07375851bf50/,Black,Jet Black,Four-wheel Drive,"14–20



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,Automatic,"EcoTec3 5.3L V-8 gasoline direct injection, variable valve contr",1GCUYBEF9MZ254634,8412C,"21,293 mi.",None reported,No,No,"$40,780"
2019 Ford Transit-150 Base,/vehicledetail/3009a3de-19a2-4b83-8a45-72b21ef07ebb/,WHITE,gray,Rear-wheel Drive,"0–0



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,Automatic,"3.7L V-6 DOHC, Ti-VCT variable valve control, engine with 275HP",1FTYE2CM7KKB49236,404027_21005-F,"60,700 mi.",None reported,No,No,"$32,800"
2019 Toyota Camry XSE,/vehicledetail/3634d157-c6ce-4b87-8083-349e125f8a24/,Midnight Black,Black,Front-wheel Drive,"22–32



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,4T1BZ1HK3KU024455,KU024455,"46,610 mi.",At least 1 accident or damage reported,Yes,Yes,"$29,921"
2022 Buick Encore GX Preferred,/vehicledetail/39a05f14-8d40-428f-896c-6a8bc031c309/,Satin Steel Metallic,Ebony,All-wheel Drive,"26–29



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,9-Speed Automatic,1.3L I3 12V GDI DOHC Turbo,KL4MMCSL6NB023982,5367DA,"13,400 mi.",None reported,Yes,Yes,"$26,799"
2009 Lexus RX 350 Base,/vehicledetail/3a4d11c6-f854-459e-835e-ed0744c3fc5b/,Silver,–,All-wheel Drive,"17–22



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,Automatic,"3.5L V-6 DOHC, VVT-i variable valve control, engine with 270HP",2T2HK31U39C131499,W11843A,"117,595 mi.",None reported,No,Yes,"$13,750"
2021 Chevrolet Trailblazer LT,/vehicledetail/8307b8c0-0669-4c9c-accd-4eca1ed92710/?attribution_type=isa,Mosaic Black Metallic,Black,All-wheel Drive,"26–30



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,9-Speed Automatic,1.3L I3 12V GDI DOHC Turbo,KL79MRSL2MB171301,MB171301,"46,501 mi.",None reported,Yes,Yes,"$26,988"
2012 Volkswagen GTI W/CONV&38 SUNROOF PZEV,/vehicledetail/97418816-37d7-484e-8780-210f141bf63e/,Gray,Gray,Front-wheel Drive,"21–31



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Manual,2.0L I4 16V GDI DOHC Turbo,WVWED7AJXCW208589,208589,"126,467 mi.",None reported,No,Yes,"$11,997"
2015 Dodge Viper SRT,/vehicledetail/94d79ad4-9a02-4bfb-a02a-38fa3bffb371/,Competition Blue Pearl,Black,Rear-wheel Drive,"12–21



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Manual,8.4L V10 20V MPFI OHV,1C3ADEAZ6FV510405,19644,"10,241 mi.",None reported,No,No,"$149,500"
2020 Cadillac XT6 Sport AWD,/vehicledetail/261a0982-6c43-46f9-9ec9-5354392baae3/,Satin Steel Metallic,Jet Black,All-wheel Drive,"17–24



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,1GYKPHRS7LZ226490,NM228679A,"44,898 mi.",None reported,Yes,Yes,"$43,888"
2021 Ford Ranger XL,/vehicledetail/5db27d29-e71c-4daf-9b95-74db11202f53/,Carbonized Gray Metallic,Ebony,Rear-wheel Drive,"21–26



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,1FTER1EHXMLD28045,15987A,"36,046 mi.",None reported,Yes,Yes,"$25,998"
2005 GMC Canyon SLE,/vehicledetail/1be95fbe-8029-473e-9219-e566ccf0de76/,Blue,Dark Gray,Rear-wheel Drive,–,Gasoline,4-Speed Automatic,3.5L I5 20V MPFI DOHC,1GTDS136X58254793,A3463,"122,085 mi.",None reported,No,Yes,"$9,995"
2021 Mercedes-Benz AMG A 35 Base,/vehicledetail/e6c4c972-016e-4949-8881-5ea9fd86d72d/,Gray,Black,All-wheel Drive,"22–29



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,W1K3G5BB9MJ304311,SH3550,"17,944 mi.",None reported,Yes,Yes,"$45,000"
2021 Audi Q7 55 Premium,/vehicledetail/f3401b97-5ed7-472c-ad23-b1c4755c4fbb/,Orca Black Metallic,Black,All-wheel Drive,"18–23



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo,WA1AXAF78MD021603,PA021603,"25,521 mi.",None reported,No,No,"$54,000"
2022 Acura MDX Type S w/Advance Package,/vehicledetail/b665adb7-c9ff-4ca3-aca2-8900dc26a2d6/?attribution_type=isa,Gray,Red,All-wheel Drive,"17–21



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,10-Speed Automatic,3.0L V6 24V GDI DOHC Turbo,5J8YD8H82NL003294,P23058B,"32,280 mi.",None reported,Yes,Yes,"$61,987"
2015 Cadillac CTS 3.6L Performance,/vehicledetail/afb3989c-56f0-4675-8fad-988cf957d66b/,Gray,Beige,Rear-wheel Drive,"18–29



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,1G6AS5S34F0119166,119166,"74,502 mi.",At least 1 accident or damage reported,No,No,"$20,495"
2019 RAM ProMaster 3500 High Roof,/vehicledetail/f5fea792-8345-4660-9d6a-84ee045f8755/,Gray,Black,Front-wheel Drive,–,Gasoline,6-Speed Automatic,3.6L V6 24V MPFI DOHC,3C6URVJG2KE546638,9935,"102,612 mi.",At least 1 accident or damage reported,Yes,No,"$30,555"
2022 Kia Sorento Plug-In Hybrid SX,/vehicledetail/6312b10a-a4f9-4248-a3f9-ed996ed3efa2/,Platinum Graphite,Black,All-wheel Drive,–,Hybrid,6-Speed Automatic,1.6L I4 16V GDI DOHC Turbo Hybrid,KNDRJDLH0N5074591,D62268,"22,875 mi.",None reported,No,Yes,"$46,411"
2018 Audi Q3 2.0T Premium Plus,/vehicledetail/1e20706a-73d6-41a5-81d3-384a202c0594/,Glacier White Metallic,Black,All-wheel Drive,"20–28



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WA1JCCFS3JR029134,P8613A,"37,904 mi.",None reported,No,Yes,"$27,999"
2017 Land Rover Discovery Sport HSE,/vehicledetail/6c4328b5-eb17-49f1-b22b-eb66ceb52671/,Yulong White,Ebony,Four-wheel Drive,"20–25



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,SALCR2BG4HH661481,661481,"85,661 mi.",None reported,Yes,Yes,"$20,995"
2019 Lexus GS 350 F Sport,/vehicledetail/4a566d56-d7b1-42ce-a461-2163234f1482/,Smoky Granite Mica,Black,Rear-wheel Drive,"19–27



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,JTHBZ1BL6KA017845,P380112,"35,898 mi.",At least 1 accident or damage reported,No,Yes,"$36,799"
2018 BMW 330e iPerformance,/vehicledetail/80fbe4d2-689d-4385-be80-47c7bde39965/,Mineral Gray Metallic,Black / Dark Oyster,Rear-wheel Drive,–,Hybrid,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid,WBA8E1C58JA755911,W305173A,"40,020 mi.",None reported,Yes,Yes,"$25,933"
2018 Toyota Camry Hybrid LE,/vehicledetail/ea33689c-48c4-4e36-a188-48275da816eb/,Celestial Silver Metallic,Ash,Front-wheel Drive,"51–53



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,4T1B31HK4JU504018,UU504018,"89,300 mi.",At least 1 accident or damage reported,No,No,"$22,491"
1990 Land Rover Defender ,/vehicledetail/e7578761-0dad-46fd-b9e6-34840a21f007/,Black,Black,–,–,–,–,–,SALLDHAC8FF440139,M7924,"63,050 mi.",None reported,No,No,"$79,981"
2022 Kia Carnival SX Prestige,/vehicledetail/28ba630a-482a-48c7-a1c0-08c43b63e540/,Snow White Pearl,Tucsan Umber,Front-wheel Drive,"19–26



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,KNDNE5H31N6079993,LC22552B,"36,724 mi.",None reported,No,Yes,"$44,988"
2017 INFINITI Q50 400,/vehicledetail/8ba483cf-3e9c-447d-9443-2c7ca978e689/,Iridium Blue,Graphite,Rear-wheel Drive,"20



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,7-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,JN1FV7AP0HM850525,P7425,"68,654 mi.",At least 1 accident or damage reported,No,No,"$26,000"
2021 Lincoln Aviator Reserve AWD,/vehicledetail/d85b7c67-44f6-412c-a95a-84d49cb3641a/,Pristine White,Roast,All-wheel Drive,"17–24



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,10-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,5LM5J7XC7MGL09126,PN6096,"17,230 mi.",None reported,Yes,Yes,"$61,900"
2014 Toyota Avalon ,/vehicledetail/6a192bca-846e-41d2-8ce7-68e0573c8a64/,Blizzard Pearl,Light Gray,Front-wheel Drive,"21–31



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,4T1BK1EB2EU097751,19035,"56,979 mi.",At least 1 accident or damage reported,No,Yes,"$19,640"
2005 Chevrolet Silverado 2500 LS H/D Crew Cab,/vehicledetail/4594a652-6c1f-4630-a5b9-872501f96da3/,Summit White,Dark Charcoal,Four-wheel Drive,–,Diesel,Automatic,6.6L V8 32V DDI OHV Turbo Diesel,1GCHK23205F819312,23747A,"68,827 mi.",At least 1 accident or damage reported,No,Yes,"$25,995"
2011 Toyota Avalon Limited,/vehicledetail/87661cee-f01b-4e87-a634-471d7b09592c/,Sizzling Crimson Mica,Ivory,Front-wheel Drive,"20–29



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,4T1BK3DB7BU440322,BU440322,"120,645 mi.",None reported,Yes,Yes,"$12,992"
2020 Ford Fusion Energi Titanium,/vehicledetail/0880da9f-82a6-40ea-ab6e-f38f1a087f58/,Iconic Silver Metallic,Ebony,Front-wheel Drive,–,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,3FA6P0SU2LR232681,F20762A,"30,415 mi.",None reported,Yes,Yes,"$25,897"
2021 Chevrolet Tahoe High Country,/vehicledetail/dcfb43f3-4f77-414e-aee1-678258d14d11/,Summit White,Jet Black,Four-wheel Drive,"14–19



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,1GNSKTKL6MR120048,MR120048,"78,337 mi.",None reported,Yes,Yes,"$62,997"
2008 Lexus RX 400h ,/vehicledetail/b7d8861c-63ad-4c47-a2f1-bd02cf154ef6/,Crystal White,Light Gray,All-wheel Drive,"26–24



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Hybrid,Automatic CVT,3.3L V6 24V MPFI DOHC Hybrid,JTJHW31U082863690,42747,"40,449 mi.",None reported,Yes,Yes,"$19,999"
2021 BMW M440 i xDrive,/vehicledetail/ff43ceb0-a1ce-4d3a-82a8-6b35a629ae15/?attribution_type=isa,Alpine White,Tacora Red,All-wheel Drive,"22–31



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,WBA13AR0XMCF79622,K1380,"15,332 mi.",None reported,No,Yes,"$52,994"
2018 Ford Fusion Energi SE Luxury,/vehicledetail/0dfa0c9c-a134-45d6-9518-e0844a092e5f/,Oxford White,Medium Light Stone,Front-wheel Drive,–,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,3FA6P0PU0JR242759,JR242759P,"7,513 mi.",None reported,No,No,"$24,500"
2017 Jaguar XF 35t Premium,/vehicledetail/c41e886a-0bb0-4a78-a56a-cbf807e93eda/,Ebony Black,Jet / Jet,All-wheel Drive,"20–28



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Supercharged,SAJBJ4BV0HCY31984,13153,"56,221 mi.",None reported,No,No,"$23,900"
2018 Toyota Avalon Limited,/vehicledetail/eca32c0b-32c3-4e46-8fe3-a5020b394731/,Red,Almond,Front-wheel Drive,"21–30



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,4T1BK1EB9JU268103,SM27283,"46,296 mi.",At least 1 accident or damage reported,No,No,"$25,173"
2014 Jaguar F-TYPE S,/vehicledetail/c53f5fdb-2113-4558-8bf3-ac8a847b6394/,Ultimate Black Metallic,Jet / Camel / Jet,Rear-wheel Drive,"19–27



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Supercharged,SAJWA6FC2E8K04286,P12233,"45,484 mi.",None reported,No,No,"$30,910"
2023 Toyota 4Runner TRD Pro,/vehicledetail/360c0c99-5227-4550-bfa8-45cc8b70d216/,Solar,Black / Graphite,Four-wheel Drive,–,Gasoline,Automatic,4.0L V6 24V MPFI DOHC,JTELU5JR8P6112575,P5613,236 mi.,None reported,Yes,Yes,"$59,998"
2015 Chevrolet Express 3500 LT,/vehicledetail/12d4031d-71e2-4d77-9e84-f0f461ca6004/,Summit White,Medium Pewter,Rear-wheel Drive,"11–17



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Automatic,4.8L V8 16V MPFI OHV,1GAZG1FF6F1169794,42F1169794,"62,832 mi.",None reported,No,No,"$27,413"
2019 BMW M4 CS,/vehicledetail/086fa2b8-bdb8-467c-a1ac-81a17cb9824c/,Black Sapphire Metallic,Anthracite,Rear-wheel Drive,"17–23



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,7-Speed Automatic with Auto-Shift,3.0L I6 24V GDI DOHC Twin Turbo,WBS3S7C50KAC09626,KAC09626,"54,098 mi.",At least 1 accident or damage reported,No,Yes,"$56,900"
2021 Mercedes-Benz E-Class E 450 4MATIC,/vehicledetail/bbfd18f5-26e7-42b6-97c5-c2d8a6b9afbe/,Black,Black,All-wheel Drive,"22–28



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,W1KZH6AB0MA913284,913284,"13,704 mi.",None reported,Yes,Yes,"$69,997"
2016 Toyota Avalon XLE,/vehicledetail/a0d06206-ae4a-4cc1-a916-b3c58a27bc42/,Gray,Almond,Front-wheel Drive,"21–30



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,4T1BK1EB0GU217095,Z414,"83,152 mi.",At least 1 accident or damage reported,No,No,"$19,730"
2019 Buick Enclave Essence,/vehicledetail/f9791f3d-d50f-4477-993a-1f554f89702c/?attribution_type=isa,Satin Steel Metallic,Dark Galvanized,Front-wheel Drive,"18–26



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,5GAERBKW1KJ266814,10276,"36,254 mi.",At least 1 accident or damage reported,No,No,"$31,458"
2007 Hummer H2 Base,/vehicledetail/64437059-1574-42f3-ae7d-ce6421926223/,Pewter Metallic,Ebony,Four-wheel Drive,–,Gasoline,4-Speed Automatic,6.0L V8 16V MPFI OHV,5GRGN23U67H103654,113431,"68,371 mi.",At least 1 accident or damage reported,Yes,No,"$29,000"
2021 Lincoln Nautilus Reserve,/vehicledetail/c639640a-60ad-4ef1-84a9-436ff252382c/,Silver,Ebony,All-wheel Drive,"20–25



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,2LMPJ8K94MBL07407,A260,"21,394 mi.",None reported,Yes,No,"$44,487"
2014 Ford Expedition XL,/vehicledetail/38c0ae96-b96d-4ebe-b9ef-22275f19e8a7/,White,Beige,Four-wheel Drive,"13–18



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",E85 Flex Fuel,6-Speed Automatic,5.4L V8 24V MPFI SOHC Flexible Fuel,1FMJU1G58EEF63738,1470,"59,452 mi.",None reported,Yes,No,"$17,964"
2017 Buick Enclave Leather,/vehicledetail/eff227bb-61ed-40e5-afb8-ece59fcfa301/,Ebony Twilight Metallic,Ebony,All-wheel Drive,"15–22



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Automatic,3.6L V6 24V GDI DOHC,5GAKVBKD2HJ139348,X4001,"98,772 mi.",None reported,Yes,No,"$19,344"
2022 INFINITI QX55 LUXE,/vehicledetail/cf86a302-dda3-4e0a-9f6c-362e01d854a6/,Slate Gray,Graphite,All-wheel Drive,"22–28



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,Automatic CVT,2.0L I4 16V PDI DOHC Turbo,3PCAJ5J36NF111362,P6753,"14,120 mi.",None reported,Yes,Yes,"$41,800"
2019 Nissan Maxima 3.5 S,/vehicledetail/c49527fd-3890-40df-9222-d61437e653b5/,Black,Charcoal,Front-wheel Drive,"20–30



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,Automatic CVT,3.5L V6 24V GDI DOHC,1N4AA6AV1KC382836,A382836,"71,341 mi.",None reported,Yes,Yes,"$22,970"
2017 Volkswagen Touareg V6 Sport w/Technology,/vehicledetail/67706aa7-5126-47c4-bad6-571c899536e0/,Pure White,Corn Silk Beige,All-wheel Drive,"17–23



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,WVGEF7BP1HD000970,X3861,"56,225 mi.",None reported,Yes,Yes,"$24,792"
2012 Dodge Charger SRT8 Superbee,/vehicledetail/02802288-efca-4e80-8108-728f900f0c51/,Stinger Yellow Clearcoat,Black,Rear-wheel Drive,"14–23



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,Automatic,HEMI 6.4L V-8 engine with cylinder deactivation and 470HP,2C3CDXGJ6CH262036,K1812,"13,575 mi.",None reported,Yes,No,"$35,995"
2019 Toyota Avalon XSE,/vehicledetail/91cd9c3e-6801-423e-9ba1-a1df803c50f3/?attribution_type=isa,Wind Chill Pearl,Black,Front-wheel Drive,"22–31



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,4T1BZ1FB8KU029587,PU149303A,"64,902 mi.",None reported,Yes,No,"$28,932"
2017 Chrysler 300 Limited,/vehicledetail/fb0adbdd-c739-49ac-be43-d274e54015b4/,Maximum Steel Metallic,Black,All-wheel Drive,"18–27



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,2C3CCARG4HH588216,K-5449,"89,745 mi.",At least 1 accident or damage reported,No,No,"$18,490"
2011 Ford F-350 Lariat Super Duty,/vehicledetail/95bf8d7f-b2b5-4f26-8367-9ccaaf5dbbd5/,Gray,Black,Four-wheel Drive,–,Diesel,6-Speed Automatic,6.7L V8 32V DDI OHV Turbo Diesel,1FT8W3BT2BEB95194,B95194,"185,833 mi.",None reported,No,Yes,"$26,988"
1999 Plymouth Prowler ,/vehicledetail/10b9f124-6503-488e-9610-dda66fddbcc4/,Prowler Purple Clearcoat Metallic,Black,Rear-wheel Drive,"17–23



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,4-Speed Automatic,3.5L V6 24V MPFI SOHC,1P3EW65G5XV501430,B28827,"30,116 mi.",None reported,No,Yes,"$28,698"
2021 Ford Ranger XL,/vehicledetail/eebc247f-4032-49ca-b5bd-b3ec565a5afa/,Black,–,Rear-wheel Drive,"21–26



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,1FTER4EH3MLD14778,P4654,"13,157 mi.",None reported,Yes,Yes,"$34,990"
2014 Ford F-150 XLT,/vehicledetail/e033ad58-3288-4a87-be56-d92e07f20ad5/,Vermillion Red,–,Four-wheel Drive,–,Gasoline,6-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo,1FTFX1ET3EKF54353,1-3140B,"128,410 mi.",None reported,Yes,No,"$17,984"
2017 Buick LaCrosse Essence,/vehicledetail/62b0dcc9-8c91-462f-a2fa-01cc0df63b66/,White Frost Tri-Coat,Light Neutral,Front-wheel Drive,"21–31



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,1G4ZP5SS4HU190920,H278579A,"27,775 mi.",None reported,Yes,Yes,"$22,346"
2011 Cadillac CTS-V Base,/vehicledetail/86a359c2-4156-497c-b108-b7136af84c30/,Radiant Silver Metallic,Light Titanium,Rear-wheel Drive,–,Gasoline,6-Speed Automatic,6.2L V8 16V MPFI OHV Supercharged,1G6DV8EP5B0126433,102568,"21,081 mi.",None reported,No,Yes,"$63,995"
